Key,Road,Mileage,Latitude,Longitude
台1線/0,台1線,0,121.519621,25.045684
台1線/500,台1線,500,121.514839,25.046898
台1線/1000,台1線,1000,121.510231,25.04847300000001
台1線/1500,台1線,1500,121.50381,25.05027
台1線/2000,台1線,2000,121.499597,25.052613
台1線/2500,台1線,2500,121.495327,25.054866
台1線/3000,台1線,3000,121.491129,25.05712
台1線/3500,台1線,3500,121.48781,25.06029
台1線/4000,台1線,4000,121.483299,25.061564
台1線/4500,台1線,4500,121.478357,25.061555
台1線/5000,台1線,5000,121.473403,25.061465
台1線/5500,台1線,5500,121.468475,25.061494
台1線/6000,台1線,6000,121.463553,25.061005
台1線/6500,台1線,6500,121.458642,25.06041
台1線/7000,台1線,7000,121.45371,25.060507
台1線/7500,台1線,7500,121.44879,25.060226
台1線/8000,台1線,8000,121.444434,25.058148
台1線/8500,台1線,8500,121.440856,25.055135
台1線/9000,台1線,9000,121.438067,25.051408
台1線/9500,台1線,9500,121.435229,25.047729
台1線/10000,台1線,10000,121.432402,25.04404
台1線/10500,台1線,10500,121.429591,25.040342
台1線/11000,台1線,11000,121.426753,25.036648
台1線/11500,台1線,11500,121.423159,25.03362
台1線/12000,台1線,12000,121.418653,25.032303
台1線/12500,台1線,12500,121.414088,25.030713
台1線/13000,台1線,13000,121.412296,25.026946
台1線/13500,台1線,13500,121.413707,25.023062
台1線/14000,台1線,14000,121.409569,25.020153
台1線/14500,台1線,14500,121.405537,25.017992
台1線/15000,台1線,15000,121.400787,25.016755
台1線/15500,台1線,15500,121.39635,25.01486
台1線/16000,台1線,16000,121.391861,25.013911
台1線/16500,台1線,16500,121.38942,25.01028
台1線/17000,台1線,17000,121.385316,25.009249
台1線/17500,台1線,17500,121.380419,25.009677
台1線/18000,台1線,18000,121.375574,25.009244
台1線/18500,台1線,18500,121.372109,25.006294
台1線/19000,台1線,19000,121.370099,25.00246
台1線/19500,台1線,19500,121.365502,25.000826
台1線/20000,台1線,20000,121.360779,25.001753
台1線/20500,台1線,20500,121.355841,25.001505
台1線/21000,台1線,21000,121.350952,25.002085
台1線/21500,台1線,21500,121.346041,25.001845
台1線/22000,台1線,22000,121.341342,25.000975
台1線/22500,台1線,22500,121.337302,24.998365
台1線/23000,台1線,23000,121.332571,24.997355
台1線/23500,台1線,23500,121.327681,24.996885
台1線/24000,台1線,24000,121.323041,24.996595
台1線/24500,台1線,24500,121.320041,25.000075
台1線/25000,台1線,25000,121.315601,25.001285
台1線/25500,台1線,25500,121.31093,25.00009
台1線/26000,台1線,26000,121.306801,24.997685
台1線/26500,台1線,26500,121.305901,24.993485
台1線/27000,台1線,27000,121.302001,24.991985
台1線/27500,台1線,27500,121.297211,24.991385
台1線/28000,台1線,28000,121.292401,24.991285
台1線/28500,台1線,28500,121.28787,24.989539
台1線/29000,台1線,29000,121.283501,24.987585
台1線/29500,台1線,29500,121.27963,24.984784
台1線/30000,台1線,30000,121.276081,24.981653
台1線/30500,台1線,30500,121.272234,24.978869
台1線/31000,台1線,31000,121.268109,24.976513
台1線/31500,台1線,31500,121.263601,24.974685
台1線/32000,台1線,32000,121.258901,24.973325
